valences,words
-1,mope
-1,moping
-3,moron
-5,motherfucker
-5,motherfucking
1,motivate
2,motivated
2,motivating
1,motivation
-2,mourn
-2,mourned
-2,mournful
-2,mourning
-2,mourns
-2,mumpish
-2,murder
-2,murderer
-3,murdering
-3,murderous
-2,murders
-1,myth
-2,n00b
-2,naive
-3,nasty
1,natural
-2,naïve
-2,needy
-2,negative
-2,negativity
-2,neglect
-2,neglected
-2,neglecting
-2,neglects
-1,nerves
-2,nervous
-2,nervously
3,nice
2,nifty
-5,niggas
-5,nigger
-1,no
-3,no fun
2,noble
-1,noisy
-2,nonsense
-2,noob
-2,nosey
-2,not good
-3,not working
-2,notorious
2,novel
-1,numb
-3,nuts
-2,obliterate
-2,obliterated
-3,obnoxious
-2,obscene
2,obsessed
-2,obsolete
-2,obstacle
-2,obstacles
-2,obstinate
-2,odd
-2,offend
-2,offended
-2,offender
-2,offending
-2,offends
-1,offline
2,oks
3,ominous
3,once-in-a-lifetime
2,opportunities
2,opportunity
-2,oppressed
-2,oppressive
2,optimism
2,optimistic
-2,optionless
-2,outcry
-2,outmaneuvered
-3,outrage
-3,outraged
2,outreach
5,outstanding
4,overjoyed
-1,overload
-1,overlooked
-2,overreact
-2,overreacted
-2,overreaction
-2,overreacts
-2,oversell
-2,overselling
-2,oversells
-2,oversimplification
-2,oversimplified
-2,oversimplifies
-2,oversimplify
-2,overstatement
-2,overstatements
-1,overweight
-1,oxymoron
-2,pain
-2,pained
-3,panic
-3,panicked
-3,panics
3,paradise
-1,paradox
2,pardon
2,pardoned
2,pardoning
2,pardons
-1,parley
2,passionate
-1,passive
-1,passively
-2,pathetic
-1,pay
2,peace
2,peaceful
2,peacefully
-2,penalty
-1,pensive
3,perfect
2,perfected
3,perfectly
2,perfects
-2,peril
-3,perjury
-2,perpetrator
-2,perpetrators
-2,perplexed
-2,persecute
-2,persecuted
-2,persecutes
-2,persecuting
-2,perturbed
-2,pesky
-2,pessimism
-2,pessimistic
-2,petrified
-2,phobic
2,picturesque
-1,pileup
-2,pique
-2,piqued
-4,piss
-4,pissed
-3,pissing
-2,piteous
-1,pitied
-2,pity
2,playful
3,pleasant
1,please
3,pleased
3,pleasure
-2,poised
-2,poison
-2,poisoned
-2,poisons
-2,pollute
-2,polluted
-2,polluter
-2,polluters
-2,pollutes
-2,poor
-2,poorer
-2,poorest
3,popular
2,positive
2,positively
-2,possessive
-1,postpone
-1,postponed
-1,postpones
-1,postponing
-1,poverty
2,powerful
-2,powerless
3,praise
3,praised
3,praises
3,praising
1,pray
1,praying
1,prays
-2,prblm
-2,prblms
1,prepared
-1,pressure
-2,pressured
-1,pretend
-1,pretending
-1,pretends
1,pretty
-1,prevent
-1,prevented
-1,preventing
-1,prevents
-5,prick
-2,prison
-2,prisoner
-2,prisoners
2,privileged
2,proactive
-2,problem
-2,problems
-2,profiteer
2,progress
2,prominent
1,promise
1,promised
1,promises
1,promote
1,promoted
1,promotes
1,promoting
-2,propaganda
-1,prosecute
-2,prosecuted
-1,prosecutes
-1,prosecution
1,prospect
1,prospects
3,prosperous
1,protect
1,protected
1,protects
-2,protest
-2,protesters
-2,protesting
-2,protests
2,proud
2,proudly
-1,provoke
-1,provoked
-1,provokes
-1,provoking
-3,pseudoscience
-2,punish
-2,punished
-2,punishes
-2,punitive
-1,pushy
-2,puzzled
-2,quaking
-2,questionable
-1,questioned
-1,questioning
-3,racism
-3,racist
-3,racists
-2,rage
-2,rageful
-1,rainy
-3,rant
-3,ranter
-3,ranters
-3,rants
-4,rape
-4,rapist
2,rapture
2,raptured
2,raptures
4,rapturous
-2,rash
2,ratified
1,reach
1,reached
1,reaches
1,reaching
1,reassure
1,reassured
1,reassures
2,reassuring
-2,rebellion
-2,recession
-2,reckless
2,recommend
2,recommended
2,recommends
2,redeemed
-2,refuse
-2,refused
-2,refusing
-2,regret
-2,regretful
-2,regrets
-2,regretted
-2,regretting
-1,reject
-1,rejected
-1,rejecting
-1,rejects
4,rejoice
4,rejoiced
4,rejoices
4,rejoicing
2,relaxed
-1,relentless
2,reliant
1,relieve
2,relieved
1,relieves
2,relieving
2,relishing
2,remarkable
-2,remorse
-1,repulse
-2,repulsed
2,rescue
2,rescued
2,rescues
-2,resentful
-1,resign
-1,resigned
-1,resigning
-1,resigns
2,resolute
2,resolve
2,resolved
2,resolves
2,resolving
2,respected
2,responsible
2,responsive
2,restful
-2,restless
1,restore
1,restored
1,restores
1,restoring
-2,restrict
-2,restricted
-2,restricting
-2,restriction
-2,restricts
-1,retained
-2,retard
-2,retarded
-1,retreat
-2,revenge
-2,revengeful
2,revered
2,revive
2,revives
2,reward
2,rewarded
2,rewarding
2,rewards
2,rich
-3,ridiculous
-1,rig
-1,rigged
3,right direction
3,rigorous
3,rigorously
-2,riot
-2,riots
-2,risk
-2,risks
-2,rob
-2,robber
-2,robed
-2,robing
-2,robs
2,robust
4,rofl
4,roflcopter
4,roflmao
2,romance
4,rotfl
4,rotflmfao
4,rotflol
-2,ruin
-2,ruined
-2,ruining
-2,ruins
-2,sabotage
-2,sad
-2,sadden
-2,saddened
-2,sadly
1,safe
1,safely
1,safety
1,salient
-1,sappy
-2,sarcastic
2,satisfied
2,save
2,saved
-2,scam
-2,scams
-3,scandal
-3,scandalous
-3,scandals
-2,scapegoat
-2,scapegoats
-2,scare
-2,scared
-2,scary
-2,sceptical
-2,scold
3,scoop
-2,scorn
-2,scornful
-2,scream
-2,screamed
-2,screaming
-2,screams
-2,screwed
-3,screwed up
-4,scumbag
2,secure
2,secured
2,secures
-2,sedition
-2,seditious
-1,seduced
2,self-confident
-2,self-deluded
-3,selfish
-3,selfishness
-2,sentence
-2,sentenced
-2,sentences
-2,sentencing
2,serene
-2,severe
3,sexy
-2,shaky
-2,shame
-2,shamed
-2,shameful
1,share
1,shared
1,shares
-2,shattered
-4,shit
-4,shithead
-3,shitty
